Original_Title,Title,Main_Artist,Original_Artist,Source_Channel,Album,Genre,YouTube_URL,Cover_URL,File_Path,Possible_Duplicate
Somebody,Somebody,EXO,D.O.,D.O.,기대 Expectation - The 2nd Mini Album,kpop-gen3,https://music.youtube.com/watch?v=jZgjUSQIDow,https://i.ytimg.com/vi/jZgjUSQIDow/maxresdefault.jpg,EXO/기대 Expectation - The 2nd Mini Album/Somebody.mp3,False
Flatline,Flatline,EXO,EXO,EXO,REVERXE - The 8th Album,kpop-gen3,https://music.youtube.com/watch?v=6SBvwaQKHXc,https://i.ytimg.com/vi/6SBvwaQKHXc/maxresdefault.jpg,EXO/REVERXE - The 8th Album/Flatline.mp3,False
도경수 Doh Kyung Soo 'Mars' MV,Mars,EXO,컴퍼니수수 Company Soosoo,컴퍼니수수 Company Soosoo,Single,kpop-gen3,https://music.youtube.com/watch?v=BzJdUkpKVA4,https://i.ytimg.com/vi/BzJdUkpKVA4/maxresdefault.jpg,EXO/Single/도경수 Doh Kyung Soo 'Mars' MV.mp3,False
EXO 엑소 '12월의 기적 (Miracles in December)' MV (Korean Ver.),12월의 기적 (Miracles in December),EXO,EXO,SMTOWN,Single,kpop-gen3,https://music.youtube.com/watch?v=yVLxRXoLaas,https://i.ytimg.com/vi/yVLxRXoLaas/maxresdefault.jpg,EXO/Single/EXO 엑소 '12월의 기적 (Miracles in December)' MV (Korean Ver.).mp3,False
KAI 카이 'Adult Swim' MV,Adult Swim,EXO,EXO,SMTOWN,Single,kpop-gen3,https://music.youtube.com/watch?v=QqkLnNClpAQ,https://i.ytimg.com/vi/QqkLnNClpAQ/maxresdefault.jpg,EXO/Single/KAI 카이 'Adult Swim' MV.mp3,False
EXO-SC 세훈&찬열 'What a life' MV,What a life,EXO,EXO,SMTOWN,Single,kpop-gen3,https://music.youtube.com/watch?v=AtNBhPxVwh0,https://i.ytimg.com/vi/AtNBhPxVwh0/maxresdefault.jpg,EXO/Single/EXO-SC 세훈&찬열 'What a life' MV.mp3,False
Bambi,Bambi,EXO,BAEKHYUN,BAEKHYUN,Bambi - The 3rd Mini Album,kpop-gen3,https://music.youtube.com/watch?v=MYtpZoJRs5A,https://i.ytimg.com/vi/MYtpZoJRs5A/maxresdefault.jpg,EXO/Bambi - The 3rd Mini Album/Bambi.mp3,False
전야 前夜 The Eve,전야 前夜 The Eve,EXO,EXO,EXO,THE WAR - The 4th Album,kpop-gen3,https://music.youtube.com/watch?v=gK8YC0nxNe0,https://i.ytimg.com/vi/gK8YC0nxNe0/maxresdefault.jpg,EXO/THE WAR - The 4th Album/전야 前夜 The Eve.mp3,False
[STATION X 0] 찬열 (CHANYEOL) X 세훈 (SEHUN) 'We Young' MV,We Young,EXO,EXO,SMTOWN,Single,kpop-gen3,https://music.youtube.com/watch?v=3EgY4Arwv9E,https://i.ytimg.com/vi/3EgY4Arwv9E/maxresdefault.jpg,EXO/Single/[STATION X 0] 찬열 (CHANYEOL) X 세훈 (SEHUN) 'We Young' MV.mp3,False
EXO 엑소 'Sing For You' MV,Sing For You,EXO,EXO,SMTOWN,Single,kpop-gen3,https://music.youtube.com/watch?v=nqaSboKBIuA,https://i.ytimg.com/vi/nqaSboKBIuA/maxresdefault.jpg,EXO/Single/EXO 엑소 'Sing For You' MV.mp3,False
Suffocate,Suffocate,EXO,EXO,EXO,REVERXE - The 8th Album,kpop-gen3,https://music.youtube.com/watch?v=sudqTX-Up2Q,https://i.ytimg.com/vi/sudqTX-Up2Q/maxresdefault.jpg,EXO/REVERXE - The 8th Album/Suffocate.mp3,False
Back Pocket,Back Pocket,EXO,EXO,EXO,REVERXE - The 8th Album,kpop-gen3,https://music.youtube.com/watch?v=3kMTU4vGvc0,https://i.ytimg.com/vi/3kMTU4vGvc0/maxresdefault.jpg,EXO/REVERXE - The 8th Album/Back Pocket.mp3,False
