Title,Main_Artist,Original_Artist,Album,Genre,YouTube_URL,Cover_URL,File_Path
Memories,Shawn Mendes,Shawn Mendes,Handwritten (Revisited),usuk-pop,https://music.youtube.com/watch?v=r5w4Ig2nC70,https://i.ytimg.com/vi/r5w4Ig2nC70/maxresdefault.jpg,Shawn Mendes/Handwritten (Revisited)/Memories.mp3
Three Empty Words,Shawn Mendes,Shawn Mendes,Illuminate,usuk-pop,https://music.youtube.com/watch?v=BaP3buXXdlU,https://i.ytimg.com/vi/BaP3buXXdlU/maxresdefault.jpg,Shawn Mendes/Illuminate/Three Empty Words.mp3
That’ll Be The Day,Shawn Mendes,Shawn Mendes,Shawn,usuk-pop,https://music.youtube.com/watch?v=aiSs_utg4Oo,https://i.ytimg.com/vi/aiSs_utg4Oo/maxresdefault.jpg,Shawn Mendes/Shawn/That’ll Be The Day.mp3
Stitches (Seeb Remix),Shawn Mendes,Shawn Mendes,Stitches,usuk-pop,https://music.youtube.com/watch?v=O-j9kev-tlU,https://i.ytimg.com/vi/O-j9kev-tlU/maxresdefault.jpg,Shawn Mendes/Stitches/Stitches (Seeb Remix).mp3
WHAT THE HELL ARE WE DYING FOR ?,Shawn Mendes,Shawn Mendes,WHAT THE HELL ARE WE DYING FOR ?,usuk-pop,https://music.youtube.com/watch?v=44T_oXU6OVQ,https://i.ytimg.com/vi/44T_oXU6OVQ/maxresdefault.jpg,Shawn Mendes/WHAT THE HELL ARE WE DYING FOR ?/WHAT THE HELL ARE WE DYING FOR ?.mp3
Heavy,Shawn Mendes,Shawn Mendes,Shawn,usuk-pop,https://music.youtube.com/watch?v=P-WVBYymzAE,https://i.ytimg.com/vi/P-WVBYymzAE/maxresdefault.jpg,Shawn Mendes/Shawn/Heavy.mp3
Bad Reputation (MTV Unplugged),Shawn Mendes,Shawn Mendes,MTV Unplugged,usuk-pop,https://music.youtube.com/watch?v=zSVWZAGZEGs,https://i.ytimg.com/vi/zSVWZAGZEGs/maxresdefault.jpg,Shawn Mendes/MTV Unplugged/Bad Reputation (MTV Unplugged).mp3
This Is What It Takes,Shawn Mendes,Shawn Mendes,Handwritten,usuk-pop,https://music.youtube.com/watch?v=9W6N8NyZgX8,https://i.ytimg.com/vi/9W6N8NyZgX8/maxresdefault.jpg,Shawn Mendes/Handwritten/This Is What It Takes.mp3
Act Like You Love Me,Shawn Mendes,Shawn Mendes,Handwritten (Revisited),usuk-pop,https://music.youtube.com/watch?v=oEc1suDzRDM,https://i.ytimg.com/vi/oEc1suDzRDM/maxresdefault.jpg,Shawn Mendes/Handwritten (Revisited)/Act Like You Love Me.mp3
I Don't Even Know Your Name,Shawn Mendes,Shawn Mendes,Handwritten,usuk-pop,https://music.youtube.com/watch?v=GcqL8QBgK-Y,https://i.ytimg.com/vi/GcqL8QBgK-Y/maxresdefault.jpg,Shawn Mendes/Handwritten/I Don't Even Know Your Name.mp3
